Contestant,Question,Label
Brian Jones (U.S.),Boxes of Barnum's animal crackers are decorated to look like what?,in-situ
Brian Jones (U.S.),What famous fictional character has a very prominent nose that gets in the way of his love life?,wh-subject
Brian Jones (U.S.),Basketball legend Chuck Taylor is the namesake for a famous line of sneakers made by what company?,in-situ
Brian Jones (U.S.),"In the Bible, what famously wise king threatened to divide a baby in half to identify the true mother?",wh-subject
Brian Jones (U.S.),"Mount Whitney, the tallest mountain in the 48 contiguous states, is located where?",in-situ
Brian Jones (U.S.),"Before Alex Trebek took over in 1984, who was the original host of the game show ""Jeopardy!""?",wh-subject
Brian Jones (U.S.),"The 2002 movie ""Far From Heaven"" is an homage to the movies of what 1950s director?",in-situ
Brian Jones (U.S.),"What Hindu god, known as the remover of obstacles, has the head of an elephant?",in-situ
Brian Kalt,Someone who is only pretending to be upset is said to be crying what kind of tears?,in-situ
Brian Kalt,On what holiday do American children customarily go “trick or treating”?,ex-situ
Brian Kalt,"In his famous experiment during a lightning storm, what did Benjamin Franklin tie to a kite’s string?",ex-situ
Brian Kalt,Which of the following is not a nation in Africa?,wh-subject
Brian Kalt,Arthur Fiedler was most famous for conducting what orchestra?,in-situ
Brian Kalt,What kind of teeth are your wisdom teeth?,wh-subject
Brian Kalt,Which of the following actors did not star in the 1987 movie “Three Men and a Baby”?,wh-subject
Brian Kalt,How many watts make up a gigawatt?,wh-subject
Brian Kalt,The clementine is related to which of these fruits?,in-situ
Brian Kalt,"Patrick O’Brian wrote a series of novels about Jack Aubrey, a captain in what organization?",in-situ
Brian Kalt,"Who wrote the hit “I Will Always Love You”, sung by Whitney Houston in “The Bodyguard”?",wh-subject
Brian Kalt,In what city did talk show host Oprah Winfrey get her first job in television?,ex-situ
Brian Kaminski,"In addition to his thesaurus, Peter Mark Roget is also known for inventing a type of what?",in-situ
Brian Kaminski,"What company's original name, ""Cadabra,"" was abandoned because the founder thought it might be confused with ""cadaver""?",in-situ
Brian Kaminski,"Named after pilot Chuck Yeager's wife, the Bell X-1 plane that first broke the sound barrier in 1947 was dubbed what?",in-situ
Brian Kaminski,"With a population of about 4,500, what Alaska town is the northernmost community in the United States?",wh-subject
Brian Killgore,A person in a difficult situation is often said to be “behind the” what?,in-situ
Brian Killgore,Which of these is typically attached to the tail end of an arrow?,wh-subject
Brian Killgore,Which of these words means “to contact someone via his beeper number”?,wh-subject
Brian Killgore,Which of the following could scald you?,wh-subject
Brian Killgore,A mermaid has the upper body of a woman and the lower body of what animal?,in-situ
Brian Killgore,What colors have appeared on the label of Campbell’s soup cans for over a hundred years?,wh-subject
Brian Killgore,"By definition, a fossil fuel is a deposit that has formed in the earth out of what prehistoric matter?",in-situ
Brian Killgore,The tibia bone is more commonly known as what?,in-situ
Brian Killgore,"Which of the following comic actors played one of the two ""wild and crazy guys"" on TV’s ""Saturday Night Live""?",wh-subject
Brian Killgore,The AmeriCorps national service program was started by what U.S. president?,in-situ
Brian Killgore,"In the words of a 1960s slogan, “War is not healthy for children and” what?",in-situ
Brian Lavin,"For a vehicle to qualify as supersonic, it must be able to travel faster than what?",in-situ
Brian Lavin,Which of the following is not a common symptom of an allergy to pollen?,wh-subject
Brian Lavin,"A person ""eavesdropping"" on a group is secretly doing what to them?",in-situ
Brian Lavin,Which of these popular magazines has a trademark yellow border on its cover?,wh-subject
Brian Lavin,"A famous poem begins, ""'Will you walk into my parlour?' said a spider to a"" what?",in-situ
Brian Lavin,The English Channel lies between England and what country?,in-situ
Brian Lavin,"In the 1982 movie ""Poltergeist,"" spirits communicate with a little girl through what appliance?",in-situ
Brian Lavin,"By definition, a raptorial bird is what?",in-situ
Brian Lavin,"On May 15, 2001, what U.S. state's governor became the first to give birth while in office?",wh-subject
Brian Marcus,"A drink served over ice cubes is commonly said to be served ""on the"" what?",in-situ
Brian Marcus,"According to a famous tongue twister, ""She sells seashells by the"" what?",in-situ
Brian Marcus,"""Monkey suit"" is a slang term for what type of outfit?",in-situ
Brian Marcus,"What does the ""I"" stand for in the hospital abbreviation ICU?",ex-situ
Brian Marcus,"In the 1980s, what country's government adopted a policy of openness called ""glasnost""?",wh-subject
Brian Marcus,"A verbal mistake that reveals an unconscious belief is often referred to as a ""Freudian"" what?",in-situ
Brian Marcus,"By definition, a chanteuse is a female what?",in-situ
Brian Marcus,"A famously scenic stretch of road known as ""PCH"" runs along the coast of what U.S. state?",in-situ
Brian Marcus,"In Greek mythology, who ran off with Helen of Troy, causing the Trojan War?",wh-subject
Brian McKnight,"According to a common phrase, an extremely level surface is as ""flat as a"" what?",in-situ
Brian McKnight,"In order to use a joy buzzer, a person traditionally does what to another person?",in-situ
Brian McKnight,The dance known as the Hustle is usually performed to what kind of music?,in-situ
Brian McKnight,What animal name is also a word meaning “to repeat something mechanically”?,wh-subject
Brian McKnight,TV news shows often use sketch artists instead of cameramen when covering proceedings where?,in-situ
Brian McKnight,Singer Celine Dion is a native of what country?,in-situ
Brian McKnight,The title character in which of these movies wears blue war paint on his face?,in-situ
Brian McKnight,"The chorus of the 1990 C+C Music Factory song ""Gonna Make You Sweat"" features what line?",in-situ
Brian McKnight,Marin County is located outside of what major U.S. city?,in-situ
Brian McKnight,"Launched in June 2001, Madonna's current concert tour is named what?",in-situ
Brian McKnight,An amethyst is a variety of what gemstone?,in-situ
Brian McKnight,"Which of the following singers was nicknamed the “empress of the blues""?",wh-subject
Brian McKnight,Eamon de Valera was a former president and national hero of what country?,in-situ
Brian Newell,"Projecting an image of health, for years the sandwich chain Subway has used what slogan?",in-situ
Brian Newell,"To make traveling less of a pain, underwear maker Triumph once sold a ""Frequent Flyer's Bra"" that had what characteristic?",in-situ
Brian Newell,"Featuring such items as ""The Gillooly"" comic book and a triple Axel diorama Brooklyn's #THNK1994 ""museum"" is devoted to what famous '90s event?",in-situ
Brian Newell,What elected position shares its name with a Spanish word that means older or greater?,wh-subject
Brian Newell,"Famous for its opulent Christmas catalog, what retailer once sold $16,000 his-and-hers mummy cases, one of which accidentally contained an actual mummy?",wh-subject
Brian Newell,"Fox News reported the 2015 death of what blues icon with the headline ""The Thrill is Gone""?",in-situ
Brian Newell,"Using lifespan statistics from ASPCA.org, if the average indoor cat actually lived nine full lives, it would live for how many years in total?",in-situ
Brian Peterkin,"On June 5, 2009, which of these restaurant chains handed out free doughnuts to celebrate National Doughnut Day?",wh-subject
Brian Peterkin,"As its name implies, the Web site FuzzyYellowBalls.com offers video lessons on how to play what sport?",in-situ
Brian Peterkin,What classic comedy film is credit with popularizing toga parties on college campuses?,wh-subject
Brian Peterkin,What well-known U.S. landmark was originally known as the Mission San Antonio de Valero?,wh-subject
Brian Peterkin,"A popular tourist attraction in several U.S. cities, ""duck tours"" are sight-seeing trips aboard what type of vehicles?",in-situ
Brian Peterkin,"In 1926, German native Joseph Pilates emigrated to the U.S. where he opened what kind of business in New York City?",in-situ
Brian Peterkin,"In May 2009, the U.S. Postal Service raised the price of a first class stamp two cents, to what?",in-situ
Brian Sexton,"According to a popular phrase, when you confront a difficult situation, you are said to ""bite the"" what?",in-situ
Brian Sexton,What usually appears above the head of an angel?,wh-subject
Brian Sexton,"In the movie ""The Wizard of Oz,"" what did the Tin Man wish for?",ex-situ
Brian Sexton,"Where would you most likely find a ""blurb""?",ex-situ
Brian Sexton,Who has hosted the Muscular Dystrophy Association's national telethon for over thirty years?,wh-subject
Brian Sexton,"In the 1985 song ""Money for Nothing"" by Dire Straits, what completes the lyric ""I want my""?",wh-subject
Brian Sexton,Where do manned U.S. space shuttle launches take place?,ex-situ
Brian Sexton,"The 18-month-old child who was rescued from a Texas well shaft in October 1987 was known as ""Baby"" who?",in-situ
Brian Sexton,"What tragic American literary character made his home in West Egg, Long Island?",wh-subject
Brian Sexton,"What was Captain James Kirk's middie name on the television series ""Star Trek""?",wh-subject
Brian Sexton,Which of the following fashion designers sells clothes under his or her birth name?,wh-subject
Brian Slope,Which of these celebrity couples is an example of a same-sex couple?,wh-subject
Brian Slope,The World Championship of Sand Sculpture requires that sculptures be made only of sand and what liquid?,in-situ
Brian Slope,Telling a person that he is altitudinous is a fancy way of saying that he is very what?,in-situ
Brian Slope,Asian Sensations is a supermarket brand that sells several varieties of frozen what?,in-situ
Brian Slope,"On Wired magazine's Web site, which of these objects was not included on a 2009 list of ""100 Things Your Kids May Never Know About""?",wh-subject
Brian Slope,Which of these names is trademarked by the Sealed Air Corporation?,wh-subject
Brian Slope,"What Shakespeare role does Elmer Fudd tackle in a 1944 cartoon in which he says, ""What wight on yonder window bweaks?",ex-situ
Brian Slope,"Due to the rich diversity of its animal species, what island nation is known to ecologists as the ""8th continent""?",wh-subject
Brian Slope,"Released just before President Obama took office, what R&B group remade an old hit with the 2009 single ""Solid (As Barack)""?",wh-subject
Brian Slope,"Who are ""The Twitter Guys""?",wh-subject
Brian Slope,Which of these men is the National Hockey League's 2009 MVP and not a character in a play by Anton Chekhov?,wh-subject
Brian Slope,What age was Rosa Parks on the day in 1955 when she refused to give up her seat to a white passenger on a Montgomery bus?,wh-subject
Brian Smiley,"In a classic tongue twister, which of these expressions is often said to be nearly impossible to say three times fast?",wh-subject
Brian Smiley,The Laura Ingalls Wilder Medal is a biennial award given to writers of what literary genre?,in-situ
Brian Smiley,"What ancient warrior was known to the Romans as ""the Scourge of God""?",wh-subject
Brianne Sherman,An old adage wisely observes that “a fool and his money are soon” what?,in-situ
Brianne Sherman,"The Eggery is a Phoenix, Arizona eatery that serves which of these dishes?",in-situ
Brianne Sherman,"A 2008 exhibit at a North Carolina museum, ArtDuckO included works featuring a cartoon character with what first name?",in-situ
Brianne Sherman,The National High School Mock Trial Championships is an annual event in which teens perform as what professionals?,in-situ
Brianne Sherman,Zapzyt is a drugstore product used to treat what medical condition?,in-situ
Brianne Sherman,"Crucial players in the 2008 Democratic presidential race, party officials who can vote for any candidate are known as what?",in-situ
Brianne Sherman,Which of these classic sitcomes is set in the U.S. city that is located the farthest south?,wh-subject
Brianne Sherman,"An important rite of passage in Latino culture, the Quinceañera is a birthday party for a girl turning what age?",in-situ
Brianne Sherman,"In 2008, Angelina Jolie caused a media frenzy when she gave birth to fraternal twins named what?",in-situ
Brianne Sherman,"In ""Fast Times at Ridgemont High,"" stoner Jeff Spicoli is a constant annoyance to Mr. Hand, his teacher in what subject?",in-situ
Brianne Sherman,"The Cadillac car company is named after Antoine Laumet de La Mothe Cadillac, an 18th-century Frenchman famous for what?",in-situ
Brianne Sherman,"What Elvis Presley song was originally a hit for blues singer Willie Mae ""Big Mama"" Thornton in 1953?",wh-subject
Brianne Sherman,Which of the following is not a name given by astronomers to a geographical location on the Moon?,wh-subject
Brianne Sherman,"Contrary to popular belief, Robert E. Lee’s historic surrender took place not in a courthouse building, but what family’s Virginia home?",in-situ
Bridget Dilauro,"During the 2008 presidential race, pundits regularly pointed out that the U.S. vice president is ""a heartbeat away"" from what job?",in-situ
Bridget Dilauro,"Able to recognize up to 3,000 different scents, a ""perfumer"" is also known as a what?",in-situ
Bridget Dilauro,"On its Web site, what grocery store brand encourages visitors to ""discover your cat's world”?",wh-subject
Bridget Dilauro,"As its title implies, the cable reality series ""Must Love Kids"" focuses on the dating experiences of women who are all what?",in-situ
Bridget Dilauro,What classic toy was reportedly used by soldiers in Vietnam as a makeshift radio antenna?,wh-subject
Bridget Dilauro,"For several seasons, Ellen DeGeneres has kicked off episodes of her daytime talk show by doing what?",in-situ
Bridget Dilauro,Sushi-rolling mats are commonly made from which of these materials?,in-situ
Bridget Dilauro,"Used to refer to a computer's unique location in cyberspace, ""IP address"" is short for ""Internet"" what?",in-situ
Bridget Dilauro,"Thiamine, riboflavin and niacin are three vitamins in a group commonly known as what?",in-situ
Bridget Dilauro,"Some of the world's oldest paintings are France's Lascaux cave paintings, which primarily depict what?",in-situ
Bridget Dilauro,"Screened for President Woodrow Wilson, what was the first feature film ever shown at the White House?",wh-subject
Bridget Dilauro,"Before he was adopted by a British family, the kids' lit character Paddington Bear lived in Peru and had what name?",in-situ
Bridget Hall,A bathroom scale is designed to measure what?,in-situ
Bridget Hall,Which of the following is most likely to have a volume control?,wh-subject
Bridget Hall,What phrase is often used to describe a childhood crush?,wh-subject
Bridget Hall,Gloss is a kind of makeup usually applied where on the face?,in-situ
Bridget Hall,Krispy Kreme specializes in making which of these edible treats?,in-situ
Bridget Hall,What French phrase is used to describe a meal served at a restaurant for a set price?,wh-subject
Bridget Hall,A bridle path is traditionally used in what sport?,in-situ
Bridget Hall,The Oliver Peoples company is best known for designing what accessory?,in-situ
Bridget Hall,"On the TV series “Sex and the City,” what character is married to Dr. Trey MacDougal?",wh-subject
Bridget Hall,South Beach is a popular Miami tourist area famous for what architecture style?,in-situ
Bridget Hall,True cashmere comes from the soft hair of what kind of animal?,in-situ
Brie McCaddin,"Because they have difficulty keeping their balance while walking, what kind of people are commonly called “toddlers”?",wh-subject
Brie McCaddin,“Destroys the Clog!” is a registered trademark of what brand?,in-situ
Brie McCaddin,"Fittingly, pharaoh heads and hieroglyphics adorn the entrance of what Los Angeles landmark?",in-situ
Brie McCaddin,"In the classic fairy tale “Rapunzel,” the prince climbs Rapunzel’s tower using what?",in-situ
Brie McCaddin,"Often made by pranksters in photos, the “rabbit ears” hand signal is roughly identical to what other common gesture?",in-situ
Brie McCaddin,"Fittingly, the Honolulu eatery Ciao Mein serves what two types of cuisine?",in-situ
Brie McCaddin,"Billing it as the world’s thinnest laptop, Apple introduced an ultralight computer in 2008 called the “MacBook” what?",in-situ
Brie McCaddin,"A popular Internet new source, DrudgeReport.com was founded by a man with what name?",in-situ
Brie McCaddin,Which of these famous poem titles features the first words of the poem itself?,wh-subject
Brie McCaddin,President George W. Bush belongs to what religious denomination?,in-situ
Brittney Carman,"Sounding a little like Dr. Seuss, a style of novelty T-shirt often seen on St. Patrick's Day says ""I'm not as think as you"" what?",in-situ
Brittney Carman,"More than just a bunch of ""portly, grey-bearded men"", the Hemingway Look-Alike Society gathers annually for a fundraising event in what location?",in-situ
Brittney Carman,Tourists in Stockholm visiting what musical act's museum can sing with a hologram version of the band?,in-situ
Brittney Carman,"Stonewall, Intimidator, Dominator and Striker sound like tough nicknames, but they are also all varieties of what?",in-situ
Brittney Carman,"Flash photography, and perhaps, throwing stones are off limits at architect Philip Johnson's house, a National Historic Landmark made of what?",in-situ
Brittney Carman,"A combination of ""sheep"" and ""people"", the term ""sheeple"" is often used to describe people when they are what?",in-situ
Brittney Carman,"Taking a popular meme to the next level, installing the ""Hey Girl"" Chrome extension will change the images on any website to hot shots of whom?",in-situ
Brittney Carman,"Not to be confused with Disco Fever, which of the following was an epidemic in 16th Century France?",in-situ
Brook Hager,"Perhaps because of its color, what element gets its name from the Spanish word for ""silver""?",wh-subject
Brook Hager,"Named after a peaceful religious group, what is the name for a dummy weapon used to deceive the enemy?",wh-subject
Brook Hager,"In what game does a player shout ""fish out of water!' when he suspects other players are out of the pool?",in-situ
Brook Hager,"Also the site of his most famous character's demise, what author is credited with helping to introduce the sport of skiing to Switzerland?",wh-subject
Brook Hager,"Which of these Washington, D.C. buildings does not appear on the back of a U.S. bill currently in circulation?",wh-subject
Brook Hager,"Defined by Isaac Newton Newton in 1687, what force is essential in creating the desired effect of roller coasters that feature vertical loops?",wh-subject
Brooke Elliott,"Before his name was changed to incorporate that of his favourite snack, what Sesame Street character was actually known as Sid?",wh-subject
Brooke Elliott,A recent study done at West Point revealed that test scores drop when college students are allowed to use what distracting devices in the classroom?,in-situ
Brooke Elliott,"NationalGeographic.com explains that there ""is really only one"" what in the world, but most geographers ""divide it into four"" ""for convenience""?",in-situ
Brooke Elliott,What force in physics is responsible for rug burn?,wh-subject
Brooke Elliott,Kids are often taught how to make rudimentary kaleidoscopes by placing mirrors inside a what?,in-situ
Brooke Elliott,"In Lemony Snicket's popular 13-volume book series, ""A Series of Unfortunate Events"", which of these is fittingly book number 12?",wh-subject
Brooke Elliott,"By head count and certainly by leg count, what department boasts the most specimens at New York's American Museum of Natural History?",wh-subject
Brooke Elliott,"Considering the total global population as of 2016, if you're ""one in a million,"" then theoretically, there are about how many other people just like you?",in-situ
Brooke Elliott,"Derived from the Greek for ""water silver"", hydrargyrum is the word that was abbreviated to give what element its chemical symbol?",in-situ
Brooke Elliott,"What three-letter word can be formed by combining, in order, the first name initials of the sixth, seventh and eighth U.S. presidents?",wh-subject
Brooke Elliott,"A reference to the mythological figure who created mortals, the full title of Mary Shelley's novel ""Frankenstein"" is ""Frankenstein: or the Modern"" who?",in-situ
Brooke Elliott,"If you were to drive in a straight line from the capital of the most populous state to the capital of the least populous state, you'd go through which of the following?",in-situ
Brooke Sheehan,"In a 2011 obituary, Variety acknowledged ""Wheel of Fortune"" set designer Ed Flesh's idea of a ""spinning wheel that spins"" how?",in-situ
Brooke Sheehan,"Often seen in kitchens in Morocco, a couscousiere is a type of what?",in-situ
Brooke Sheehan,"A difficult beginning in a new situation is commonly referred to as a ""baptism by"" what?",in-situ
Brooke Sheehan,"Science teachers often have students push pieces of candy bars together, with one sliding over the other, to illustrate what concept?",in-situ
Brooke Sheehan,"According to a recent study, what could be called the ""pop music accent"" because even international performers use it when they sing?",wh-subject
Brooke Sheehan,"Extending over 3,700 miles, the Lewis and Clark National Historic Trail passes through all but which of these states?",in-situ
Kevin Brown,In which of these films does Whoopi Goldberg dress up as a nun?,ex-situ
Kevin Brown,"""And many more"" is a line commonly sung at the end of what traditional ditty?",in-situ
Bruce Andriatch,"Traditionally, which of the following does a photographer say to get his subjects to smile?",ex-situ
Bruce Andriatch,"""Chopper"" is a slang term for which of the following?",in-situ
Bruce Andriatch,"In April 2000, the National Park Service announced a crackdown on which of the following activities?",in-situ
Bruce Andriatch,What sound signals the opening of the New York Stock Exchange?,wh-subject
Bruce Andriatch,What type of clothing is a shift?,wh-subject
Bruce Andriatch,How was Joan of Arc executed?,ex-situ
Bruce Andriatch,What is the name for a word or phrase that is repeated to oneself during meditation?,wh-subject
Bruce Andriatch,What professional baseball team did Tommy Lasorda manage for two decades?,ex-situ
Bruce Andriatch,"In 1982, who did Bryant Gumbel replace as co-host of the ""Today"" show?",ex-situ
Bruce Andriatch,"What state's motto is ""If you seek a pleasant peninsula, look about you""?",wh-subject
Bruce Christensen,"If tennis star Li Na was referred by the chemical elements her first and last name symbolize, she would be called what?",in-situ
Bruce Christensen,Which of these is not a man-made waterway used for navigation?,wh-subject
Bruce Christensen,"Eliminating the need for a clutch, the “Double Agent Shoe” features a secret storage compartment between the heel and sole of what type of footwear?",in-situ
Bruce Christensen,“Auto Tithing Machines” that allow people to make donations with a credit or debit card are becoming popular where?,in-situ
Bruce Christensen,"In the mid-20th century, two of the most recognizable facial moles in the world could bee found on Marilyn Monroe’s cheek and what foreign leader’s chin?",in-situ
Bruce Christensen,"Studies suggest that errors in teaching hospitals spike in what month, possibly because it’s when new residents start working after graduation?",in-situ
Bruce Christensen,"Though he never learned to play them himself, Leo Fender revolutionized popular music with his designs for what instruments?",in-situ
Bruce Christensen,"Wrought with tales of adultery, crime and women embracing like “Eve and Eve,” the romance novel “Sisters” was written by which Vice Presidential wife?",in-situ
Bruce Lynn,"Adding pressure for men to be creative, in 2013 Yahoo! named the Eiffel Tower the worst place to do what, because it’s cliché and crowded?",in-situ
Bruce Lynn,"Due to statewide drought, the once impressive Rio Grande running through New Mexico has been nicknamed what by local media?",in-situ
Bruce Lynn,"Because global warming has led some animals to travel north and crossbreed with Arctic species, scientists have observed what new animal hybrid?",in-situ
Bruce Lynn,"What now defunct airline’s name, when divided, is also the full name given to Kim and Kanye’s daughter born in 2013?",in-situ
Bruce Lynn,"Before becoming the voice of “Saturday Night Live’s” opening credits, who first broke the news of JFK’s assassination on NBC?",wh-subject
Bruce Lynn,"Having overseen the execution of King Charles I, what historical figure died in 1658 but was dug up and beheaded in 1661, under orders of King Charles II?",wh-subject
Bruce Lynn,What food did comedian Mitch Hedberg call “cucumbers that sold out”?,ex-situ
Bruce Lynn,A line in what philosopher’s 1888 treatise “Twilight of the Idols” could have inspired the Kelly Clarkson hit “Stronger (What Doesn’t Kill You)”?,in-situ
Bruce Lynn,"Before Disney officially crowned her as their 11th Princess, Merida from “Brave” was given a controversial makeover for new merchandise that included what?",in-situ
Bruce Miller,The name of which ocean is derived from the Latin word for peaceful?,in-situ
Bruce Miller,What is another term for a troublesome circumstance?,wh-subject
Bruce Miller,"If Oz were a real place, it would have to be which of the following, since it’s the only country where lions tigers and bears can all be found in the wild?",in-situ
Bruce Miller,"In a 2012 rock anthem, the band Fun. sings “Tonight we are” what?",in-situ
Bruce Miller,"In football, a long pass with little chance of being caught is often referred to by what religious term?",in-situ
Bruce Miller,"In 2012, what airline became the first to buy its own oil refinery in hopes of cutting out the middleman?",wh-subject
Bruce Rogers,"According to the title of a Shakespeare play, ""All's Well That Ends"" how?",in-situ
Bruce Rogers,"According to superstition, what kind of cat is often associated with bad luck?",wh-subject
Bruce Rogers,"What is the English word for the liquid called ""agua"" in Spanish?",wh-subject
Bruce Rogers,What California city hosts the annual Rose Bowl football game?,wh-subject
Bruce Rogers,Who was the first person to sign the Declaration of Independence of the United States?,wh-subject
Bruce Rogers,The presidency of John F. Kennedy is sometimes referred to by what mythical name?,in-situ
Bruce Rogers,Which of the following book publishers is best known for romance novels?,wh-subject
Bruce Rogers,"Which of the following was not one of the Sweathogs on the 1970s TV series ""Welcome Back, Kotter""?",wh-subject
Bryan Bishop,As a safety measure which of the following is commonly equipped with an air bag?,wh-subject
Bryan Bishop,"Jim Carrey supplied the voice of the hero Horton in the 2008 Dr. Seuss adaptation ""Horton Hears a"" what?",in-situ
Bryan Bishop,"Of Shakespeare's works, movie producer Sam Goldwyn once reportedly said, ""Fantastic! And it was all written with a"" what?",in-situ
Bryan Bishop,"In a game of hangman, what body part is often drawn first after a player offers the first incorrect guess?",wh-subject
Bryan Bishop,"Derived from a Greek word meaning ""grinding,"" the medical term ""trismus"" refers to what ailment?",in-situ
Bryan Bishop,"Featuring letters that contain secret messages, Kryptos is a sculpture outside what U.S. agency's headquarters?",in-situ
Bryan Bishop,"What redheaded stand-up comedian is the star of her own Hollywood reality show subtitled ""My Life on the D-List""?",wh-subject
Bryan Bishop,"Someone who compliments your appearance by saying they like ""the cut of your jib"" is using a phrase borrowed from what field?",in-situ
Bryan Bishop,"Located about 25,000 feet below sea level, the Cayman Trench marks the deepest point in what body of water?",in-situ
Bryan Bishop,"In the classic tale by Washington irving, Rip Van Winkle sleeps for so long that he misses what momentous event?",in-situ
Bryan Bishop,"Which of these Asian cities once boasted a vast series of canals, or klongs, which gained it the nickname ""Venice of the East""?",wh-subject
Bryan Bishop,"When filled to capacity for a game, what college's football stadium temporarily becomes the third largest ""city"" in its state?",wh-subject
Bryan Bishop,The National Spelling Bee was first organized in 1925 by a newspaper based in what U.S. city?,in-situ
Bryan Cohen,"n 2010, the Romanian Hemophilia Association hoped to draw attention to its cause by putting what color dye in fountains throughout Bucharest?",in-situ
Bryan Cohen,The world's largest frog is known by what name?,in-situ
Bryan Cohen,"In 1960, Chicago hairdresser Margaret Vinci Heldt took inspiration from a black velvet hat and invented what hairdo?",in-situ
Bryan Cohen,"Campaign managers might smile at what sitcom's episode in which Woody runs for city councilman and is told, ""Say the word 'change' about 100 times""?",in-situ
Bryan Cohen,"If you ate half a of a White Castle ""Crave Case,"" how many sliders would you have eaten?",ex-situ
Bryan Cohen,"The historic date of December 7, 1787 is featured prominently at the bottom of what state's flag?",in-situ
Bryan Cohen,"In 2012, Uggie, a Jack Russell Terrier, became the first dog to cement his paw prints outside Grauman's Chinese Theater, for starring which of these films?",in-situ
Bryan Cohen,"What term is used as slang for both ""a live performance"" and ""1,024 megabytes""?",wh-subject
Bryan Cohen,What U.S. President started the tradition of throwing out the first pitch on Opening Day of the Major League Baseball season?,wh-subject
Bryan Duray,What snack food name also means “a person of superior ability”?,wh-subject
Bryan Duray,It is sometimes said that someone who has died has “bought the” what?,in-situ
Bryan Duray,"In the U.S., where on the body is an engagement ring traditionally worn?",ex-situ
Bryan Duray,"On the TV show “Wheel of Fortune,” players lose their money after landing on what space on the wheel?",in-situ
Bryan Duray,What part of an automobile do the letters “ABS” most often refer to?,ex-situ
Bryan Duray,"According to the 1978 song The Gambler, “You never” do what “when you’re sitting at the table”?",in-situ
Bryan Duray,"By definition, what is a donnybrook?",wh-subject
Bryan Duray,Which of the following continents does not have a natural rain forest?,wh-subject
Bryan Duray,"Which of these Dr. Seuss characters says, “I speak for the trees”?",wh-subject
Bryan Duray,Which of the following 1977 movies beat “Star Wars” for the Best Picture Academy Award?,wh-subject
Bryan Duray,The Persian Gulf War officially lasted how many days until the cessation of hostilities?,in-situ
Bryan Duray,The world “reptile” comes from a Latin word for what?,in-situ
Bryan McMullin,"While they still play music, ‘90s band Hanson also pays the bills by making their own beer, called what?",in-situ
Bryan McMullin,"As co-owner of the sports chain SPiN, Susan Sarandon has referred to herself as a what?",in-situ
Bryan McMullin,Isthay estionquay isay ittenwray inay atwhay anguagelay?,in-situ
Bryan McMullin,"The inspiration for Olivia Pope in TV’s “Scandal,” crisis manager Judy Smith has represented clients involved in all but which of these real-life scandals?",in-situ
Bryan McMullin,Google automatically displays the weather when you search for all but which of the following?,in-situ
Bryan McMullin,Man undergoing a laryngeal shave are reducing what body part?,in-situ
Bryan McMullin,"Telling the galactic tale as the bard would have, the author of “William Shakespeare’s The Empire Striketh Back” utilizes what literary technique?",in-situ
Bryan McMullin,What federal agency has their own “most wanted” list of fugitives for crimes ranging from “blending motor fuel” to “illegal asbestos removal”?,wh-subject
Bryan McMullin,"According to a study by Czech and German scientists, if your dog circles a lot before doing his business, it’s because he’s trying to align himself with what?",in-situ
Bryan McMullin,How do you typically turn a jalapeño pepper into a chipotle pepper?,ex-situ
Bryan McMullin,"Reflecting on his boyhood town, Harry Houdini reportedly said, ""The greatest escape I ever made was when I left"" where?",in-situ
Bryan Sigrist,"According to an old adage, what can't you fit into a square hole?",ex-situ
Bryan Sigrist,What is a cook most likely to do with a whisk?,wh-subject
Bryan Sigrist,"By definition, if you suffer from dehydration, your body lacks what?",in-situ
Bryan Sigrist,"In 1906, which American city was devastated by an earthquake?",wh-subject
Bryan Sigrist,"On the TV show ""M*A*S*H,"" which character wore women's clothing to try to get discharged from the Army?",wh-subject
Bryan Sigrist,Actor Nicolas Cage is the nephew of what famous film director?,in-situ
Bryan Sigrist,"Which popular physicist has sold over nine million copies of his book ""A Brief History of Time""?",wh-subject
Bryan Sigrist,"In tennis, what is the only Grand Slam tournament played on natural grass?",wh-subject
Bryan Sigrist,The southernmost city in the United States is located in what state?,in-situ
Bryan Sigrist,"In what city does the action in the musical ""Cabaret"" take place?",ex-situ
Bryan Sigrist,"In 1967, what rock band appeared in the first live worldwide television show broadcast by satellite?",wh-subject
Bryan Sigrist,What state did Robert F. Kennedy represent in the U.S. Senate from 1965 to 1968?,ex-situ
Bryan Sigrist,"Which of these movies incorporated elements of the Shakespeare play ""Henry IV""?",wh-subject
Bryant Michel,"Autosomal-dominant Compelling Helio-Ophthalmic Outburst syndrome, whose initials offer a clue, is the need to do what when seeing the Sun?",in-situ
Bryant Michel,"In the Bible, Judas receives 30 what in exchange for betraying Jesus?",in-situ
Bryant Michel,Employees at the grocery chain Trader Joe's are known for wearing what?,in-situ
Bryn Boyce,"The popular children's TV character Barney is a six-and-a-half-foot tall, purple what?",in-situ
Bryn Boyce,"In a classic song from the 1950s, Bill Haley sings, ""We're gonna rock around the"" what ""tonight""?",in-situ
Bryn Boyce,Russell Stover was founded in 1923 when Mr. and Mrs. Stover began a small business selling what?,in-situ
Bryn Boyce,An exfoliant is a beauty product typically used on what part of the body?,in-situ
Bryn Boyce,"Which of these accents is commonly referred to as a ""brogue""?",wh-subject
